]poiughfh,Receipe,Time,Ingredients,Instructions
,Wiener schnitzel (veal schnitzel) i,,"    Veal escalopes
    All-purpose flour
    Eggs
    Breadcrumbs
    Salt
    Pepper
    Cooking fat (such as oil or clarified butter)
    Lemon wedges (for serving)","     Place the veal escalopes on a cutting board and lightly pound them with the flat side of a meat mallet. Be careful not to tear the meat, but ensure that it is evenly flattened.
    Season the escalopes with salt and pepper on both sides.
    Prepare three separate shallow bowls or plates. Place the flour in one, beaten eggs in another, and breadcrumbs in the third.
    Dredge each veal escalope in flour, shaking off any excess.
    Dip the floured escalope into the beaten eggs, making sure it is coated on both sides.
    Press the escalope firmly into the breadcrumbs, ensuring an even coating. Repeat this process for each escalope.
    Heat the cooking fat in a large frying pan over medium heat.
    Carefully place the breaded veal escalopes into the hot fat and fry them until golden brown on both sides. Cook each side for a few minutes, until the breadcrumbs are crispy and the veal is cooked through. You may need to do this in batches, depending on the size of your pan.
    Once cooked, transfer the schnitzels to a plate lined with paper towels to absorb any excess oil.
    Serve the Wiener schnitzel hot, accompanied by lemon wedges for squeezing over the meat. Traditionally, it is served with a side of potato salad or fries.   "
, the beefsteak a,,"    Beef tenderloin (polędwica wołowa)
    Flour (for breading)
    Salt (to season the meat)
    Fat or oil (for frying)
    Optional: Fresh butter
    Optional: Finely chopped parsley or chives
    Optional: Eggs (for serving with a fried egg on top)","    If you managed to acquire beef tenderloin, lightly pound the meat with the handle of a knife, being careful not to pierce it. This will help tenderize the meat.
    Proceed with the preparation as you would with a breaded pork chop (kotlet schabowy). You can follow the steps for breading the meat.
    Lightly coat the beefsteak in flour, making sure it is evenly covered. Shake off any excess flour.
    Heat a generous amount of fat or oil in a pan until it is very hot.
    Place the breaded beefsteak in the hot fat and fry it for about 3 minutes on each side. This will give it a nice golden crust.
    After frying, season the beefsteak with salt while it is still in the pan.
    Once cooked, transfer the beefsteak to a plate.
    For serving, you can add a small piece of fresh butter on top of the beefsteak, mixed with finely chopped parsley or chives for extra flavor. Alternatively, you can serve it with a fried egg on top.
    Enjoy your classic beefsteak ""au naturel""!

Remember that a perfectly prepared beefsteak should be juicy and tender. It is normal for the meat to have a pink color inside, so don't be alarmed if you see some reddish juices when you cut into it."
,the beefsteak Rumsteck,,"    Beef tenderloin (polędwica wołowa)
    Flour (for breading)
    Salt (to season the meat)
    Fat or oil (for frying)
    Optional: Fresh butter
    Optional: Finely chopped parsley or chives
    Optional: Eggs (for serving with a fried egg on top)","    If the beef tenderloin is not already sliced, cut it into thick slices or medallions.
    Lightly pound the meat with a meat mallet or the back of a knife to tenderize it. Be careful not to pierce the meat.
    Season the beefsteak with salt on both sides.
    Coat each piece of beefsteak with flour, shaking off any excess.
    Heat a generous amount of fat or oil in a frying pan over high heat.
    Once the oil is hot, carefully place the beefsteak in the pan and cook for about 3 minutes on each side, or until desired doneness is achieved. Adjust the cooking time according to your preference for rare, medium, or well-done steak.
    Remove the beefsteak from the pan and let it rest for a few minutes before serving.
    Optional: Place a small piece of fresh butter on top of each beefsteak while it is still hot, allowing it to melt and enhance the flavor.
    Optional: Garnish with finely chopped parsley or chives for added freshness.
    Optional: Serve the beefsteak with a fried egg on top for a classic ""befsztyk po wiedeńsku"" presentation.
    Enjoy your delicious beefsteak!"
,the lamb steak,,"    Lamb leg slice or lamb shoulder piece (100-120g)
    1 clove of garlic, finely chopped
    Salt and pepper to taste
    Oil or butter for frying

Optional side dishes:

    Roasted vegetables
    Mashed potatoes
    Fresh salad","    Take a slice of lamb leg or a piece of lamb shoulder (100-120g) and lightly pound it with a meat mallet to tenderize it.
    Rub the meat with a freshly chopped garlic clove, ensuring both sides are well coated.
    Heat a frying pan over medium-high heat and add a small amount of oil or butter.
    Once the pan is hot, carefully place the lamb steak in the pan.
    Cook the steak for about 3-4 minutes on each side, or until it reaches your desired level of doneness.
    Remove the lamb steak from the pan and let it rest for a few minutes before serving.
    Season with salt and pepper to taste.
    You can serve the lamb steak with your choice of side dishes, such as roasted vegetables, mashed potatoes, or a fresh salad.
    Enjoy the delicious and easily digestible lamb steak!

Note: Cooking times may vary depending on the thickness of the lamb steak and your preferred level of doneness. Make sure to handle and cook the lamb safely, ensuring it reaches a safe internal temperature for consumption."
,"fried pork,",,"    Lean pork from the ham (120-150g), cut into small pieces
    Oil or butter for frying
    Salt and pepper to taste

Optional ingredients:

    1 small onion, thinly sliced
    3-5 button mushrooms, finely chopped","    Heat some oil or butter in a frying pan over medium heat.
    Add the sliced pork to the hot pan and spread it out in a single layer.
    Cook the pork, stirring frequently, for about 10 minutes or until it is evenly browned and cooked through.
    If desired, add the thinly sliced onion or finely chopped mushrooms to the pan after about 5 minutes of cooking. Continue cooking and stirring until the onions or mushrooms are softened and cooked.
    Season the pork with salt and pepper to taste. Be cautious with the salt if you added the optional ingredients, as they may already contribute some saltiness.
    Continue cooking for another minute or two to allow the flavors to meld.
    Remove the fried pork from the heat and serve hot.

You can enjoy fried pork as a main dish with rice or potatoes, or use it as a filling for sandwiches or wraps. Feel free to customize the recipe by adding herbs, spices, or other ingredients according to your preference."
,veal liver or pork liver:,,"    250 grams of veal or pork liver
    2 tablespoons of flour
    Salt and pepper to taste
    Cooking oil or butter for frying
    Optional: sliced onions, garlic, herbs, or spices for additional flavor","    Rinse the liver under cold water and pat it dry with paper towels.
    Slice the liver into thin, even pieces.
    In a shallow dish, season the flour with salt and pepper. Dredge each piece of liver in the seasoned flour, shaking off any excess.
    Heat a frying pan over medium heat and add a small amount of cooking oil or butter.
    Once the oil or butter is hot, carefully place the liver slices in the pan. If desired, you can also add sliced onions or minced garlic at this point.
    Cook the liver for about 3-4 minutes on each side or until it is browned and cooked through. Be careful not to overcook the liver to avoid it becoming tough and dry.
    If using onions or garlic, sauté them until they are soft and translucent.
    Remove the liver from the pan and transfer it to a plate lined with paper towels to absorb any excess oil.
    Serve the cooked liver immediately while it is still hot. It pairs well with mashed potatoes, steamed vegetables, or a fresh salad.

Note: Liver is best enjoyed when it is cooked to medium or medium-rare to maintain its tenderness and flavor. Adjust the cooking time according to your preference."
,"pan-fried liver ""a la minute"":",,"50-200 grams of liver slices (veal or pork)
Flour for dusting
Salt to taste
Cooking oil or butter for frying
Optional: sliced onions for serving","    Lightly dust the liver slices with flour, shaking off any excess.
    Heat a frying pan over high heat and add a small amount of cooking oil or butter.
    Once the oil or butter is hot, carefully place the liver slices in the pan. Make sure not to overcrowd the pan; cook the liver in batches if needed.
    Sear the liver on high heat for about 3 minutes on each side, or until browned and cooked through. Cooking time may vary depending on the thickness of the slices and desired doneness. Be careful not to overcook the liver to keep it tender and juicy.
    Once cooked, remove the liver from the pan and place it on a serving plate. Sprinkle with salt to taste.
    Optional: In the same pan, add sliced onions and sauté them until they are caramelized and golden brown. Serve the liver topped with the sautéed onions.
    Serve the pan-fried liver immediately while it is still hot. It can be accompanied by mashed potatoes, steamed vegetables, or a fresh salad.

Note: Liver is best enjoyed when it is cooked to medium or medium-rare to maintain its tenderness and flavor. Adjust the cooking time according to your preference. The center of the liver should still be slightly pink when cooked."
,meatballs,,"    100 grams of lean ground meat (veal, beef, pork)
    1 raw egg
    1 small piece of bread, soaked in water and squeezed
    Salt to taste
    For the broth: 500 ml of water, 1 small carrot, ½ parsley root, a small piece of celery
    For the dill sauce: dill, broth from cooking the meatballs, and any additional soup of your choice (vegetable, potato, tomato)
    Optional: 1 cube of Maggi seasoning (if cooking in water)

Instructions:","    n a bowl, mix the ground meat, raw egg, and squeezed bread. Season with salt according to your taste.
    Form small meatballs about the size of a small egg.
    In a separate pot, bring the water to a boil. Add the carrot, parsley root, and celery to create a flavorful broth. Season the broth with salt.
    Carefully drop the meatballs into the boiling broth. Cook them for 12-15 minutes until they are fully cooked and tender.
    While the meatballs are cooking, prepare the dill sauce. Finely chop the dill.
    In a separate saucepan, combine a portion of the meatball broth with the chopped dill to create a dill sauce. You can also add any additional soup of your choice to the sauce for extra flavor.
    Once the meatballs are cooked, remove them from the broth using a slotted spoon and place them on a serving dish.
    Serve the meatballs with the dill sauce and any accompanying soup or broth. Alternatively, you can cook the meatballs in water with a dissolved Maggi seasoning cube instead of using the vegetable broth.

Enjoy your meatballs!"
, meat cooked in vegetable broth:,,"    A piece of veal, beef, or lean pork (around 300 grams)
    Vegetables for the broth: carrot, parsley root, celery (optional: dried mushroom)
    Water (approximately 800 ml)
    Salt to taste
    Sauce options: dill sauce, horseradish sauce, chive sauce, tomato sauce
    Optional: additional vegetables for salad or soup","    Start by preparing the meat. Cut it into large cube-shaped pieces.
    Rinse the meat under running water (do not soak the meat in water before cooking).
    In a pot, bring the water to a boil. Add the meat to the boiling water.
    For a 300-gram piece of meat, use around 800 ml of water. The water level may reduce during cooking, so you can add more boiling water if needed.
    Cook the meat over low heat with the lid on for about 1-2 hours, depending on the type and age of the meat. The meat should become tender and easy to shred.
    After about 30 minutes of cooking, add a few pieces of vegetables to the pot, such as carrot, parsley root, celery, and optionally a dried mushroom for extra flavor.
    Once the meat is tender, season the broth with salt to taste.
    Remove the cooked meat from the broth and set it aside. The broth can be used to make soup or sauce.
    You can use the cooked vegetables to make a salad (see salad recipes) or add them to the soup.
    Serve the cooked meat with your choice of sauce: dill sauce, horseradish sauce, chive sauce, or tomato sauce. In the summer, salads are also recommended to accompany the dish.

Enjoy your meat cooked in vegetable broth!"
,braised meat:,,"    Meat of your choice (veal, pork, beef)
    Salt
    Onion
    Water or broth
    Optional: additional seasonings and vegetables of your choice
    Optional: hot water or sour cream to thin or enrich the sauce","    Start by blanching the meat. Dip it in boiling water for about 15 seconds to remove any impurities. Pat it dry with a paper towel.
    Lightly season the meat with salt.
    In a small pot or Dutch oven, heat a small amount of oil or fat over high heat. Brown the meat on all sides until it develops a golden-brown color.
    Add finely chopped onion to the pot and continue cooking for a short while until the onion becomes translucent.
    Pour in about 1/2 to 1 cup of water or broth, enough to partially cover the meat.
    Cover the pot with a lid and reduce the heat to low. Allow the meat to simmer gently. If the liquid evaporates too quickly, you can add a little hot water as needed.
    The cooking time will vary depending on the type of meat and its thickness. Veal may take around 40-50 minutes, pork a bit longer, and beef the longest. Check the meat's tenderness by piercing it with a fork.
    Once the meat is tender, remove it from the pot and transfer it to a serving dish.
    If desired, thicken or enrich the sauce in the pot. You can do this by adding a spoonful of hot water and bringing it to a boil, or by stirring in a spoonful of sour cream.
    Pour the sauce over the cooked meat and serve.

You can accompany the braised meat with side dishes such as mashed potatoes, steamed vegetables, or a salad. Enjoy your braised meat with its flavorful sauce!"
, goulash:,,"    150 grams of meat (beef, pork, or a combination)
    Salt
    Onion
    Flour (optional)
    Water or broth","    Cut the meat into thick cubes.
    Heat a pan with a generous amount of oil or fat over high heat. Add the meat cubes and brown them on all sides until they develop a golden-brown color.
    Add sliced onions to the pan and continue cooking over low heat, stirring occasionally, to prevent the onions from burning.
    Once the onions have softened, season the meat with salt. You can also lightly dust the meat with flour for added thickness and flavor.
    After 10 minutes of cooking, pour in about 1/2 cup of water or broth.
    Cover the pan with a lid and simmer the goulash on low heat for another 15 minutes or until the meat becomes tender.
    Check the meat for doneness and adjust the seasoning if necessary.
    Serve the goulash hot with your choice of side dishes, such as potatoes, noodles, or bread.

Goulash is a hearty and flavorful dish that can be enjoyed on its own or paired with other accompaniments. Enjoy your homemade goulash!"
,alternative version of the goulash,,"    150 grams of meat (beef, pork, or a combination)
    Salt
    Onion
    Flour (optional)
    Water or broth
    1 tablespoon of tomato paste
    Paprika
    Water (to adjust consistency)
    Optional: 1 tablespoon of sour cream","    Follow the initial steps of the previous goulash recipe: cut the meat into cubes, brown it in a pan with oil or fat, add sliced onions, and cook until the onions soften.
    Season the meat and onions with salt. You can also lightly dust the meat with flour if desired.
    Add 1 tablespoon of tomato paste and a pinch of paprika to the pan. Stir well to incorporate the flavors.
    If the sauce becomes too thick, add 1-2 tablespoons of water and bring it to a boil. This will help to adjust the consistency.
    Continue to simmer the goulash on low heat for about 15 minutes or until the meat is tender and the flavors have melded together.
    If desired, stir in 1 tablespoon of sour cream to add creaminess to the sauce. This step is optional but common in Hungarian-style goulash.
    Adjust the seasoning if needed.
    Serve the goulash hot with your choice of side dishes, such as potatoes, noodles, or bread.

This variation adds tomato paste, paprika, and the option of sour cream to create a richer and more distinct Hungarian-style goulash. Enjoy your delicious goulash!"
,boiled cod:,,"    1/2 liter of cold water
    Carrot
    Parsnip
    Celery
    Optional: 1/2 small onion
    Optional: 2 grains of allspice
    Salt
    Optional: 1 teaspoon of vinegar
    Cod fillet
    Butter
    Hard-boiled egg (half for garnish, half for salad)
    Chopped parsley (for garnish)
    Optional: Side dish of boiled potatoes or rice","    In a pot, add the cleaned carrot, parsnip, celery, and onion (if using) to 1/2 liter of cold water. You can also add 2 grains of allspice for additional flavor (optional).
    Bring the water with the vegetables to a boil and let them simmer covered for about 20 minutes.
    Strain the vegetable broth and return it to the pot. You can use the cooked vegetables to make a vegetable salad for dinner if desired.
    Season the broth with salt to taste and add 1 teaspoon of vinegar (optional).
    Place the cod fillet into the boiling broth, cover the pot, and simmer on low heat for 15-20 minutes, depending on the size of the fillet. The fish should be cooked until it flakes easily.
    Carefully remove the cooked cod from the broth using a slotted spoon and transfer it to a serving plate.
    Pour melted butter over the cod without browning it and sprinkle finely chopped hard-boiled egg on top. Reserve the other half of the egg for the vegetable salad.
    Garnish with chopped parsley.
    Serve the boiled cod with boiled potatoes or rice. You can sprinkle the potatoes with finely chopped parsley for added flavor.
    Alternatively, instead of garnishing with butter and egg, you can serve the boiled cod with one of the following sauces: Supreme, Mornay, or Poulette (refer to ""Sauces"" for recipes).
    Be cautious while eating to avoid swallowing any fish bones.
    Leave the skin of the cod, as it becomes tender during cooking, along with the bones, on the plate.

Enjoy your boiled cod meal, either with the classic butter and egg garnish or with a delicious sauce!"
,cod meatballs:,,"    Cleaned cod meat
    Soaked bread crumbs
    Raw egg
    Half a finely chopped and lightly fried onion (should not be browned)
    Butter or margarine for frying the onion
    Salt
    Optional: Pepper
    Optional: Teaspoon of semolina (if needed to thicken the mixture)
    Vegetable broth (prepared according to the previous recipe)
    Dill sauce or horseradish sauce (see ""Sauces"" for basic white sauce recipe)
    Boiled potatoes or baked rice","    Pass the cleaned cod meat through a meat grinder or finely chop it.
    Add soaked and squeezed bread crumbs, raw egg, finely chopped and lightly fried onion.
    Season with salt and optionally pepper. Mix all the ingredients together until you have a homogeneous mixture.
    If the mixture is too loose, add a heaping teaspoon of semolina and mix again.
    Shape the mixture into small egg-sized balls (wet your hands with cold water before shaping) and place them in the boiling vegetable broth (prepared according to the previous recipe).
    Cook the fish meatballs on low heat for about 20 minutes.
    Meanwhile, prepare dill sauce or horseradish sauce based on the basic white sauce recipe.
    Remove the cooked fish meatballs from the broth and pour the sauce over them on a plate.
    Serve the cod meatballs with boiled potatoes or baked rice.

Enjoy your meal!"
, the fried cod fillet,,"    Fillet of cod
    Salt
    Lemon juice or vinegar (optional)
    Flour
    Ground pepper
    Lard, cooking oil, or margarine
    Potatoes (for serving)
    Optional accompaniments: Carrot, horseradish, pickled cucumber, sauerkraut, or ingredients for horseradish sauce","    Prepare the cod fillet for frying. Season it with salt and, if desired, sprinkle it lightly with lemon juice or vinegar.
    Lightly coat the fillet with flour, ensuring it is evenly covered.
    Heat a tablespoon of lard, cooking oil, or margarine in a frying pan over high heat.
    Place the coated fillet on the hot frying pan. It's important to fry it on a medium heat for about 5 minutes on each side.
    After frying for 5 minutes on each side, cover the pan with a lid and reduce the heat to a minimum. You can also place an asbestos plate on the pan to retain heat. Let the fillet cook for an additional 2-3 minutes to allow it to finish cooking.
    Once cooked, transfer the fried fillet and serve it on a plate.
    Pour the remaining fat from the frying pan over the fillet and potatoes (if serving).
    Accompany the fried cod fillet with a side dish of your choice, such as carrot and horseradish salad, pickled cucumber, sauerkraut, or horseradish sauce (not all at once, of course!).

Enjoy your delicious fried cod fillet meal!"
,breaded fried cod,,"    Cod fillets
    Flour
    Eggs
    Breadcrumbs
    Cooking oil (for frying)
    Salt and pepper (to taste, optional)","    Lightly dust the cod fillet with flour.
    Dip the fillet into beaten egg, ensuring it is coated evenly.
    Coat the fillet with breadcrumbs, pressing gently to adhere them to the surface.
    Heat a generous amount of cooking oil in a frying pan over high heat.
    Fry the breaded fillet on high heat for approximately 3 minutes on each side, or until golden brown.
    Reduce the heat to low and continue frying for an additional 3 minutes on each side.
    Cover the frying pan with a lid and let it cook on the lowest heat setting, preferably using an asbestos plate, for another 2 minutes.
    Remove the fried cod fillet from the pan and place it on a serving plate.
    Serve the breaded cod fillet with a side dish of your choice. It pairs well with more piquant vegetables. A touch of grated horseradish (without any additional spices) makes a wonderful complement to this delicious dish. Alternatively, you can prepare a carrot and horseradish salad, sauerkraut salad, or potato salad (if not serving boiled potatoes). This breaded cod is also tasty when served cold.
    Enjoy your breaded fried cod!"
, baked cod in a baking dish,,"    Thick cod fillet
    Butter
    Salt
    Lemon juice or dry white wine (optional)
    Thick horseradish sauce (refer to ""Sauces"" for recipes)
    Cooked potatoes (optional)","    Preheat the oven to a moderate temperature.
    Place the cod fillet in the baking dish.
    Drizzle a tablespoon of melted butter over the fillet and sprinkle it with salt.
    Bake the cod in the preheated oven for 30 minutes.
    Optionally, you can drizzle the fillet with a teaspoon of lemon juice or dry white wine for variation.
    After 30 minutes, open the baking dish and pour thick horseradish sauce over the fillet. Spread it evenly.
    Return the dish to the oven and bake for an additional 15 minutes.
    If desired, you can also add cooked potatoes to the baking dish and lightly drizzle them with butter. Do not pour sauce over the potatoes.

The baked cod will be tender and flavorful, with the option of adding horseradish sauce and accompanying it with potatoes. Enjoy!"
,smoked cod salad,,"    Smoked cod, flesh removed from the bones and cut into pieces
    1 tablespoon mustard
    1 tablespoon tomato puree
    1/3 teaspoon (level) sugar
    2 tablespoons olive oil or vegetable oil
    A pinch of pepper
    Finely chopped onion
    Bunch of finely chopped chives","    In a bowl, prepare the dressing by combining mustard, tomato puree, sugar, olive oil (or vegetable oil), and a pinch of pepper. Mix well until the ingredients form a smooth emulsion.
    Pour the dressing over the pieces of smoked cod that have been peeled and removed from the bones.
    Add the finely chopped onion and a bunch of finely chopped chives to the cod.
    Mix all the ingredients together, ensuring that the dressing coats the cod and the vegetables evenly.
    Let the salad sit for about an hour before serving to allow the flavors to meld together.
    The smoked cod salad is a delicious and budget-friendly option for a light meal or snack.

Enjoy the wonderful flavors of the smoked cod salad, complemented by the tangy dressing and the freshness of the onion and chives."
,"""Awanturka"" with smoked fish:",,"    Smoked fish, flesh removed from the bones and skin
    2 tablespoons of bryndza or cottage cheese (for cottage cheese, add 1 tablespoon of sour cream)
    1 tablespoon of vegetable oil (optional)
    Finely chopped onion
    Finely chopped chives (optional)
    Bread, bagel, or toast for spreading the ""Awanturka""
    Optional: 1/3 teaspoon of powdered paprika
","    Peel the smoked fish and remove the bones and skin. Mash the flesh into a paste-like consistency.
    Add the bryndza or cottage cheese to the mashed fish. If using cottage cheese, also add 1 tablespoon of sour cream.
    Optionally, add a tablespoon of vegetable oil and a small amount of finely chopped onion and chives for extra flavor.
    Mix all the ingredients together until well combined.
    Spread the ""Awanturka"" mixture onto bread, bagels, or toast.
    Optionally, you can prepare the ""Awanturka"" with canned smoked sprats in olive oil. If using sprats, drain the oil and mix them with the other ingredients.
    For an extra kick, add 1/3 teaspoon of powdered paprika to the ""Awanturka"" mixture.

Enjoy the flavorful ""Awanturka"" spread on bread or toast. It can be a tasty and versatile snack or appetizer option."
,Marinated herring:,,"0 fillets (5 herring)
1 cup of vinegar (6% acidity)
1/2 cup of water
4 whole peppercorns
2 whole cloves
1 bay leaf
1/4 teaspoon of sugar
1 onion, sliced","    Place the 10 fillets (5 herring) in a glass jar.
    Prepare the marinade by boiling 1 cup of vinegar and 1/2 cup of water in a saucepan.
    Add 4 whole peppercorns, 2 whole cloves, 1 bay leaf, and 1/4 teaspoon of sugar to the boiling mixture.
    Slice an onion into thin rings and add it to the boiling marinade.
    Allow the marinade to cool completely.
    Once cooled, pour the marinade over the herring fillets in the glass jar.
    Cover the jar with a lid or wrap it tightly with paper.
    Store the jar in a cool, dark place.
    After two days, the marinated herring is ready to eat.
    The marinated herring can be stored in the refrigerator for up to 10 days in winter or up to a week in summer.
    To enjoy, spread butter on bread and serve with a cup of tea.

Marinated herring makes a delicious and simple dinner option."
,Herring in oil:,,"    1/2 cup of refined oil
    1 bay leaf
    1 small onion, sliced
    3 whole cloves","    In a saucepan, bring 1/2 cup of refined oil to a boil.
    Add 1 bay leaf, sliced onion, and 3 whole cloves to the boiling oil.
    Allow the oil mixture to cool completely.
    Arrange herring fillets in a jar.
    Pour the cooled oil mixture over the herring fillets in the jar, ensuring they are fully submerged.
    Seal the jar tightly.
    Let the herring marinate in the oil for at least three days before consuming.
    After three days, the herring is ready to eat and can be enjoyed as desired.

Note: It's important to ensure that the jar and ingredients are properly sterilized before preparing and storing the herring in oil. Additionally, make sure to keep the jar refrigerated to maintain freshness and prevent spoilage."
, Variant No. 1 - Mustard-Marinated Herring:,,"    Herring fillets (cleaned and deboned)
    Mustard (for spreading on the herring fillets)
    1/2 cup of refined oil (such as vegetable or sunflower oil)
    1 bay leaf
    1 small onion (sliced)
    3 whole cloves","    Prepare the oil as described in the previous instructions by boiling 1/2 cup of refined oil with a bay leaf, sliced onion, and 3 whole cloves. Let the oil mixture cool completely.
    Clean and debone the herring fillets.
    Spread a thin layer of mustard on the bottom side of each herring fillet.
    Roll up the fillets tightly to form small rolls and secure them with toothpicks.
    Arrange the rolled herring fillets in a clean jar or container.
    Pour the cooled oil mixture over the herring fillets, ensuring they are fully submerged.
    Seal the jar or container tightly to prevent air from entering.
    Place the jar in the refrigerator and let the herring marinate for at least three days before consuming.
    After three days, the herring will be ready to eat. Remove the toothpicks before serving.
    Serve the mustard-marinated herring chilled, either as an appetizer or as part of a meal.

Note: Make sure to use fresh and high-quality herring for the best flavor. It's important to properly sterilize the jar or container before using it to store the herring. Keep the jar refrigerated and consume the herring within a reasonable time frame."
, Mustard and Pickle-Marinated Herring:,,"    Herring fillets (cleaned and deboned)
    Mustard (for spreading on the herring fillets)
    Finely diced pickled cucumber or gherkin
    1/2 cup of refined oil (such as vegetable or sunflower oil)
    1 bay leaf
    1 small onion (sliced)
    3 whole cloves","    Spread a layer of mustard evenly on each herring fillet.
    Sprinkle the finely diced pickled cucumber or gherkin over the mustard-coated fillets.
    Roll up the herring fillets tightly into small rolls and secure them with toothpicks or cocktail sticks to hold their shape.
    Prepare the oil marinade by following the instructions from Variant No. 1: Bring 1/2 cup of refined oil to a boil with a bay leaf, sliced onion, and whole cloves. Let it cool completely.
    Place the rolled herring fillets in a glass jar or container.
    Pour the cooled oil marinade over the herring fillets, making sure they are fully submerged.
    Close the jar tightly with a lid or cover it with plastic wrap.
    Allow the herring to marinate in the refrigerator for at least three days before consuming. The longer it marinates, the more flavorful it will become.
    Once the marinating time has passed, the pickled herring is ready to be enjoyed. Serve it as an appetizer or as part of a traditional herring platter.

Remember to refrigerate the marinated herring and consume it within a reasonable time."
,(Herring in Sour Cream):,,"    4 herring fillets
    1 small onion, finely chopped
    3 tablespoons of thick sour cream
    Pinch of salt and pepper (optional)
    Boiled potatoes or fried potatoes, for serving

These ingredients will be used to prepare the herring fillets in a creamy sour cream sauce.","    Take 4 herring fillets and sprinkle them with finely chopped onion.
    Pour 3 tablespoons of thick sour cream over the herring fillets, ensuring they are well coated.
    If desired, you can also season with a pinch of salt and pepper for added flavor.
    Allow the herring fillets to marinate in the sour cream mixture for at least 1-2 hours in the refrigerator. This will help the flavors to meld together.
    Serve the herring in sour cream as a main dish, accompanied by boiled potatoes or fried potatoes.

Enjoy your ""Śledzie w śmietanie"" dish as a satisfying and flavorful meal."
,Herring in Sour Cream with a Twist):,,"    3 tablespoons of sour cream
    1/3 teaspoon of powdered sugar
    1 small onion, finely chopped
    1/2 apple, finely diced
    A squeeze of lemon juice or white wine vinegar (if needed)
    Chopped fresh chives, for garnish","    In a bowl, combine the sour cream, powdered sugar, finely chopped onion, and diced apple. If the sour cream is not very tangy, add a squeeze of lemon juice or white wine vinegar to enhance the flavor. Mix well to create a smooth sauce.

    Take the herring fillets and place them in a serving dish or a container suitable for marinating.

    Pour the prepared sour cream sauce over the herring fillets, ensuring they are well coated. The sauce will add a creamy and tangy flavor to the fish.

    Sprinkle the dish with finely chopped fresh chives for added freshness and aroma.

    Cover the dish or container and refrigerate for a few hours or overnight to allow the flavors to meld and the herring to marinate.

    Serve the ""Śledzie w śmietanie inaczej"" chilled as an appetizer or as part of a meal. It pairs well with boiled or fried potatoes.

Enjoy your herring in sour cream with a unique twist!"
,"Fried Herring), ",,"    4 herring fillets (previously soaked and dried)
    Flour, for dredging
    1 egg, beaten
    Breadcrumbs or crushed bread
    Cooking oil, for frying
    Salt and pepper, to taste

Optional side dishes:

    Potato salad or boiled potatoes
    Sauerkraut salad or coleslaw","    Start by soaking the herring fillets in water to remove any excess saltiness. Once soaked, pat them dry with a paper towel.

    Dredge each herring fillet in flour, coating it evenly. Shake off any excess flour.

    In a separate bowl, beat an egg until well combined. Dip each flour-coated herring fillet into the beaten egg, ensuring it is thoroughly coated.

    Next, transfer the herring fillet from the egg mixture to a plate of breadcrumbs or crushed bread, pressing gently to adhere the breadcrumbs to the fillet. Coat both sides of the fillet with breadcrumbs.

    Heat a frying pan over medium heat and add a generous amount of cooking oil. Once the oil is hot, carefully place the breaded herring fillets into the pan.

    Fry the herring fillets until they turn golden brown on one side, then flip them over to fry the other side. Be careful not to overcook them. Adjust the heat if necessary to prevent burning.

    Once the herring fillets are cooked and crispy, reduce the heat to low and let them cook for an additional 3 minutes, allowing them to finish cooking and become tender.

    Remove the fried herring fillets from the pan and place them on a paper towel-lined plate to drain any excess oil.

    Serve the ""Śledzie smażone"" hot alongside a side dish of your choice. It goes well with potato salad or boiled potatoes and sauerkraut salad.

Enjoy your delicious fried herring!"
,"(Boiled ""regular"" sausage)",,"    1 piece of kiełbasa sausage (approximately 10-15 clkg)
    Water for boiling
    Mustard (optional)
    Boiled potatoes (optional)

Note: The specific type and brand of kiełbasa sausage can vary based on personal preference and availability.","    Fill a pot with enough water to fully submerge the kiełbasa sausage.

    Place the pot on the stove and bring the water to a gentle simmer over medium heat. Do not let it come to a full boil.

    Once the water is simmering, carefully add the kiełbasa sausage to the pot.

    Cover the pot with a lid and cook the sausage on low heat for about 10 minutes, making sure the water remains below boiling point. This gentle simmering will help cook the sausage evenly and prevent it from bursting.

    Just before serving, you can briefly bring the water to a boil to heat the sausage through.

    Remove the kiełbasa sausage from the pot and place it on a serving dish.

    Optionally, you can serve the boiled kiełbasa with a side of mustard for dipping. You can also accompany it with boiled potatoes for a complete meal.

    Slice the kiełbasa sausage and serve it hot.

Enjoy your Kiełbasa ""zwyczajna"" gotowana!"
